Rank,Player,Team,Position,"FHG Value","Games Played",W,SO,SV%,G,A,+/-,PIM,SOG,PPP,BKS
1,"Tuukka Rask",BOS,G,146,58,36,7,0.93," "," "," "," "," "," "," "
2,"Sidney Crosby",PIT,C,132,79," "," "," ",36,66,17,46,255,37,27
3,"Carey Price",MTL,G,116,59,34,6,0.927," "," "," "," "," "," "," "
4,"Claude Giroux",PHI,C/RW,107,82," "," "," ",28,58,7,46,223,37,46
5,"Ben Bishop",TBL,G,105,64,37,5,0.924," "," "," "," "," "," "," "
6,"Ryan Getzlaf",ANA,C,100,77," "," "," ",31,56,28,31,204,23,87
7,"Erik Karlsson",OTT,D,100,82," "," "," ",20,54,-15,36,257,31,101
8,"Joe Pavelski",SJS,C/LW,98,82," "," "," ",41,38,23,32,225,31,68
9,"Sergei Bobrovsky",CBJ,G,95,58,32,6,0.923," "," "," "," "," "," "," "
10,"Jamie Benn",DAL,LW,95,81," "," "," ",34,45,21,64,279,18,60
11,"Patrick Sharp",CHI,C/LW,94,82," "," "," ",34,44,13,40,313,25,27
12,"Nicklas Backstrom",WSH,C,93,82," "," "," ",18,61,-20,54,196,44,54
13,"Semyon Varlamov",COL,G,93,63,41,2,0.927," "," "," "," "," "," "," "
14,"P.K. Subban",MTL,D,89,82," "," "," ",10,43,-4,81,204,23,125
15,"Shea Weber",NSH,D,88,79," "," "," ",23,33,-2,52,195,23,173
16,"Tyler Seguin",DAL,C/RW,86,80," "," "," ",37,47,16,18,294,24,24
17,"Dustin Byfuglien",WPG,RW/D,86,78," "," "," ",20,36,-20,86,256,26,80
18,"Kari Lehtonen",DAL,G,86,65,33,6,0.919," "," "," "," "," "," "," "
19,"Corey Perry",ANA,RW,85,81," "," "," ",43,39,32,65,280,18,28
20,"Keith Yandle",ARI,D,83,82," "," "," ",8,45,-23,63,241,31,105
21,"Duncan Keith",CHI,D,80,79," "," "," ",6,55,22,28,198,21,89
22,"Marc-Andre Fleury",PIT,G,79,63,38,5,0.915," "," "," "," "," "," "," "
23,"Alex Ovechkin",WSH,RW,77,78," "," "," ",51,28,-35,48,386,39,22
24,"Evgeni Malkin",PIT,C/RW,77,59," "," "," ",23,48,9,62,190,30,17
25,"Dion Phaneuf",TOR,D,75,80," "," "," ",8,23,2,144,145,11,156
26,"Alex Pietrangelo",STL,D,75,81," "," "," ",8,43,20,32,164,18,164
27,"Henrik Lundqvist",NYR,G,73,62,32,5,0.92," "," "," "," "," "," "," "
28,"David Backes",STL,C/RW,73,74," "," "," ",27,30,14,119,165,16,56
29,"Anze Kopitar",LAK,C,72,82," "," "," ",29,41,34,24,200,23,44
30,"Mark Giordano",CGY,D,70,64," "," "," ",14,33,12,63,180,20,103
31,"James Wisniewski",CBJ,D,69,75," "," "," ",7,44,0,61,166,28,73
32,"Chris Kunitz",PIT,LW,68,77," "," "," ",35,32,24,66,215,21,25
33,"David Krejci",BOS,C,68,80," "," "," ",19,50,39,28,169,19,56
34,"Patrice Bergeron",BOS,C,67,80," "," "," ",30,32,38,43,243,11,57
35,"Jaroslav Halak",NYI,G,65,52,29,5,0.921," "," "," "," "," "," "," "
36,"Antti Niemi",SJS,G,63,64,39,4,0.913," "," "," "," "," "," "," "
37,"Andrei Markov",MTL,D,63,81," "," "," ",7,36,12,34,131,21,180
38,"James Neal",NSH,LW/RW,63,59," "," "," ",27,34,15,55,238,26,23
39,"Niklas Kronwall",DET,D,63,79," "," "," ",8,41,0,44,110,25,154
40,"Zdeno Chara",BOS,D,62,77," "," "," ",17,23,25,66,168,15,104
41,"Scott Hartnell",CBJ,LW,62,78," "," "," ",20,32,11,103,207,20,39
42,"Taylor Hall",EDM,C/LW,60,75," "," "," ",27,53,-15,44,250,17,41
43,"Matt Niskanen",WSH,D,59,80," "," "," ",10,36,33,47,160,15,76
44,"Gabriel Landeskog",COL,LW,59,81," "," "," ",26,39,21,71,222,10,52
45,"Patrick Marleau",SJS,C/LW,59,82," "," "," ",33,37,0,18,285,23,29
46,"Kevin Shattenkirk",STL,D,57,81," "," "," ",10,35,1,38,188,24,101
47,"John Carlson",WSH,D,56,82," "," "," ",10,27,-3,22,208,22,177
48,"Victor Hedman",TBL,D,56,75," "," "," ",13,42,5,53,170,12,101
49,"Nathan MacKinnon",COL,C/RW,56,82," "," "," ",24,39,20,26,241,17,45
50,"Steve Mason",PHI,G,54,61,33,4,0.917," "," "," "," "," "," "," "
51,"Drew Doughty",LAK,D,54,78," "," "," ",10,27,17,64,177,16,91
52,"Wayne Simmonds",PHI,RW,54,82," "," "," ",29,31,-4,106,209,24,35
53,"Patrick Kane",CHI,C/RW,54,69," "," "," ",29,40,7,22,227,25,15
54,"Blake Wheeler",WPG,RW,53,82," "," "," ",28,41,4,63,225,19,68
55,"Joe Thornton",SJS,C,53,82," "," "," ",11,65,20,32,122,19,34
56,"Ryan Suter",MIN,D,52,82," "," "," ",8,35,15,34,150,17,132
57,"Oliver Ekman-Larsson",ARI,D,52,80," "," "," ",15,29,-4,50,199,22,80
58,"Ryan Johansen",CBJ,C/RW,51,82," "," "," ",33,30,3,43,237,19,39
59,"Milan Lucic",BOS,LW,51,80," "," "," ",24,35,30,91,153,12,22
60,"Alexander Steen",STL,C/LW,51,68," "," "," ",33,29,17,46,211,17,28
61,"Jonathan Toews",CHI,C,51,76," "," "," ",28,40,26,34,193,15,20
62,"Phil Kessel",TOR,RW,50,82," "," "," ",37,43,-5,27,305,20,30
63,"Jonathan Quick",LAK,G,50,49,27,6,0.915," "," "," "," "," "," "," "
64,"Erik Johnson",COL,D,50,80," "," "," ",9,30,5,61,157,14,130
65,"Radko Gudas",TBL,D,49,73," "," "," ",3,19,2,152,114,4,138
66,"Matt Duchene",COL,C/LW,48,71," "," "," ",23,47,8,19,217,17,44
67,"Brent Burns",SJS,RW/D,48,69," "," "," ",22,26,26,34,245,11,24
68,"Ryan McDonagh",NYR,D,46,76," "," "," ",13,29,10,36,173,13,131
69,"Bryan Little",WPG,C/RW,45,82," "," "," ",23,41,8,58,170,15,38
70,"Alex Goligoski",DAL,D,45,81," "," "," ",6,36,9,28,141,15,154
71,"Kyle Turris",OTT,C,45,82," "," "," ",26,32,22,39,215,14,33
72,"Torey Krug",BOS,D,44,79," "," "," ",14,26,18,28,183,19,77
73,"Cam Talbot",NYR,G,43,22,12,3,0.941," "," "," "," "," "," "," "
74,"Brandon Dubinsky",CBJ,C/LW,43,76," "," "," ",16,34,5,98,189,10,39
75,"Thomas Vanek",MIN,LW/RW,42,78," "," "," ",27,41,7,46,248,12,17
76,"Max Pacioretty",MTL,LW,42,73," "," "," ",39,21,8,35,270,17,33
77,"Logan Couture",SJS,C/LW,42,65," "," "," ",23,31,21,20,233,13,68
78,"T.J. Oshie",STL,C/RW,42,79," "," "," ",21,39,19,42,152,15,54
79,"Zach Parise",MIN,LW,41,67," "," "," ",29,27,10,30,245,20,45
80,"Brent Seabrook",CHI,D,41,82," "," "," ",7,34,23,22,149,9,142
81,"Eric Staal",CAR,C,40,77," "," "," ",20,40,-10,74,224,12,27
82,"John Tavares",NYI,C,40,59," "," "," ",24,42,-6,40,188,22,19
83,"Josh Harding",MIN,G,39,30,18,3,0.933," "," "," "," "," "," "," "
84,"Jason Garrison",TBL,D,39,81," "," "," ",7,26,-5,57,181,14,128
85,"Ryan Kesler",ANA,C/RW,38,77," "," "," ",25,18,-15,81,239,16,68
86,"James van Riemsdyk",TOR,LW,38,80," "," "," ",30,31,-9,50,279,15,29
87,"Jason Spezza",DAL,C,37,75," "," "," ",23,43,-26,46,223,22,26
88,"Kevin Bieksa",VAN,D,37,76," "," "," ",4,20,-8,104,167,8,130
89,"Jarome Iginla",COL,RW,37,78," "," "," ",30,31,34,47,209,14,27
90,"Jaromir Jagr",NJD,RW,37,82," "," "," ",24,43,16,46,231,17,9
91,"Kimmo Timonen",PHI,D,36,77," "," "," ",6,29,5,32,152,20,112
92,"Marek Zidlicky",NJD,D,36,81," "," "," ",12,30,-3,60,128,18,81
93,"Mark Streit",PHI,D,36,82," "," "," ",10,34,3,44,121,15,108
94,"Jeff Carter",LAK,C/RW,36,72," "," "," ",27,23,8,44,256,14,29
95,"Mike Green",WSH,D,35,70," "," "," ",9,29,-16,64,172,15,107
96,"Clarke MacArthur",OTT,LW,34,79," "," "," ",24,31,12,78,159,15,20
97,"Jack Johnson",CBJ,D,33,82," "," "," ",5,28,-7,48,147,18,128
98,"Jay Bouwmeester",STL,D,33,82," "," "," ",4,33,26,20,152,11,106
99,"Martin Jones",LAK,G,32,20,12,4,0.934," "," "," "," "," "," "," "
100,"Antoine Roussel",DAL,LW,32,81," "," "," ",14,15,-1,209,113,0,49
101,"Jonas Hiller",CGY,G,32,51,29,5,0.911," "," "," "," "," "," "," "
102,"Andrej Sekera",CAR,D,31,72," "," "," ",11,31,4,20,141,15,126
103,"Roberto Luongo",FLA,G,31,56,25,4,0.919," "," "," "," "," "," "," "
104,"Ondrej Palat",TBL,LW,31,81," "," "," ",23,36,32,20,165,11,64
105,"David Perron",EDM,LW/RW,31,78," "," "," ",28,29,-16,90,220,13,20
106,"Derek Stepan",NYR,C,30,81," "," "," ",16,39,11,18,197,17,46
107,"Roman Josi",NSH,D,30,72," "," "," ",13,27,-2,18,168,12,150
108,"Ryan O'Reilly",COL,C/LW,30,80," "," "," ",28,36,-1,2,201,21,43
109,"Jakub Voracek",PHI,RW,29,82," "," "," ",23,39,11,22,235,23,20
110,"Nick Bonino",VAN,C,29,77," "," "," ",22,27,14,22,159,20,68
111,"Andrew Ladd",WPG,LW,27,78," "," "," ",23,31,8,57,189,12,42
112,"Corey Crawford",CHI,G,26,59,32,2,0.917," "," "," "," "," "," "," "
113,"Marian Hossa",CHI,RW,24,72," "," "," ",30,30,28,20,241,13,26
114,"Mike Fisher",NSH,C,24,75," "," "," ",20,29,-4,60,177,10,73
115,"Johnny Boychuk",BOS,D,24,75," "," "," ",5,18,31,45,142,0,151
116,"Brad Richards",CHI,C/LW,24,81," "," "," ",20,30,-8,18,258,18,42
117,"Jonathan Bernier",TOR,G,24,56,26,2,0.923," "," "," "," "," "," "," "
118,"Jaden Schwartz",STL,LW,24,80," "," "," ",25,31,28,27,188,10,32
119,"Paul Stastny",STL,C,23,71," "," "," ",25,35,9,22,150,15,46
120,"Mats Zuccarello",NYR,LW,23,76," "," "," ",19,39,10,30,167,16,40
121,"Jussi Jokinen",FLA,C/LW,23,80," "," "," ",18,36,11,18,167,19,30
122,"Marc-Edouard Vlasic",SJS,D,22,81," "," "," ",5,19,31,38,138,1,150
123,"Andy Greene",NJD,D,22,82," "," "," ",8,24,3,32,134,13,129
124,"Cam Fowler",ANA,D,21,70," "," "," ",6,30,15,14,100,15,122
125,"Nazem Kadri",TOR,C,21,78," "," "," ",20,30,-11,67,148,18,34
126,"Dan Boyle",NYR,D,21,75," "," "," ",12,24,-8,32,154,18,92
127,"Andrew MacDonald",PHI,D,21,82," "," "," ",4,24,-22,50,92,9,242
128,"Brad Marchand",BOS,LW,21,82," "," "," ",25,28,36,64,149,2,23
129,"Tobias Enstrom",WPG,D,20,82," "," "," ",10,20,-9,56,106,13,142
130,"Kyle Okposo",NYI,RW,19,71," "," "," ",27,42,-9,51,195,14,35
131,"Slava Voynov",LAK,D,19,82," "," "," ",4,30,6,44,143,12,69
132,"Craig Smith",NSH,C/RW,19,79," "," "," ",24,28,16,22,215,10,21
133,"Matthew Carle",TBL,D,18,82," "," "," ",2,29,11,28,115,6,161
134,"Ryan Nugent-Hopkins",EDM,C,18,80," "," "," ",19,37,-12,26,178,20,35
135,"Daniel Sedin",VAN,LW,17,73," "," "," ",16,31,0,38,224,18,21
136,"Matt Moulson",NYI,LW,16,75," "," "," ",23,28,2,34,176,18,43
137,"Tomas Plekanec",MTL,C,15,81," "," "," ",20,23,11,38,199,10,45
138,"Troy Brouwer",WSH,RW,15,82," "," "," ",25,18,-6,92,161,21,39
139,"Antoine Vermette",ARI,C/LW,15,82," "," "," ",24,21,0,44,160,13,71
140,"Brian Elliott",STL,G,15,32,18,4,0.922," "," "," "," "," "," "," "
141,"Jason Demers",SJS,D,15,75," "," "," ",5,29,14,30,105,9,107
142,"Mikko Koivu",MIN,C,14,65," "," "," ",11,43,0,24,147,18,32
143,"Tyler Johnson",TBL,C,14,82," "," "," ",24,26,23,26,181,6,37
144,"Valtteri Filppula",TBL,C/LW,14,75," "," "," ",25,33,5,20,131,17,33
145,"Mark Stuart",WPG,D,14,69," "," "," ",2,11,11,101,73,0,160
146,"Jeff Skinner",CAR,LW/RW,14,69," "," "," ",32,21,-13,22,267,20,8
147,"Jake Muzzin",LAK,D,14,76," "," "," ",5,19,8,58,175,5,82
148,"Henrik Zetterberg",DET,C/LW,13,45," "," "," ",16,32,19,20,151,17,15
149,"Mike Smith",ARI,G,13,62,27,3,0.915," "," "," "," "," "," "," "
150,"David Legwand",OTT,C,13,83," "," "," ",14,37,-17,61,146,15,38
151,"Martin Hanzal",ARI,C,12,65," "," "," ",15,25,-9,73,169,13,37
152,"Brenden Dillon",DAL,D,12,80," "," "," ",6,11,9,86,97,0,149
153,"Kris Russell",CGY,D,12,68," "," "," ",7,22,-11,15,109,12,201
154,"Derick Brassard",NYR,C,11,80," "," "," ",18,27,1,46,158,17,18
155,"Andrew Shaw",CHI,C,11,80," "," "," ",20,19,12,76,149,9,16
156,"Patric Hornqvist",PIT,RW,11,76," "," "," ",22,31,1,28,248,16,34
157,"Francois Beauchemin",ANA,D,11,70," "," "," ",4,13,26,39,100,2,171
158,"Radim Vrbata",VAN,RW,10,80," "," "," ",20,31,-6,22,263,21,27
159,"Alex Killorn",TBL,C/LW,10,82," "," "," ",17,24,8,63,173,7,31
160,"Jason Pominville",MIN,RW,10,82," "," "," ",30,30,3,16,226,17,31
161,"Carl Soderberg",BOS,C/LW,10,73," "," "," ",16,32,4,36,129,16,36
162,"Frans Nielsen",NYI,C,9,80," "," "," ",25,33,-11,8,167,18,47
163,"Barret Jackman",STL,D,9,79," "," "," ",3,12,11,97,83,0,130
164,"Jordan Eberle",EDM,RW,9,80," "," "," ",28,37,-11,18,200,20,40
165,"Travis Hamonic",NYI,D,8,69," "," "," ",3,15,2,68,134,3,132
166,"Travis Zajac",NJD,C,8,80," "," "," ",18,30,3,28,165,15,25
167,"Henrik Sedin",VAN,C,8,70," "," "," ",11,39,3,42,97,18,19
168,"Bobby Ryan",OTT,LW/RW,8,70," "," "," ",23,25,7,45,190,9,30
169,"Ben Scrivens",EDM,G,7,41,16,4,0.922," "," "," "," "," "," "," "
170,"Evander Kane",WPG,LW,7,63," "," "," ",19,22,-7,66,250,5,36
171,"Jacob Trouba",WPG,D,7,65," "," "," ",10,19,4,43,121,3,132
172,"Hampus Lindholm",ANA,D,7,78," "," "," ",6,24,29,36,116,4,61
